src/modules/reports/analyticsReports.ts(2,18): error TS2307: Cannot find module '../../../config/db' or its corresponding type declarations.
src/modules/reports/analyticsReports.ts(3,29): error TS2307: Cannot find module '../../../middleware/auth' or its corresponding type declarations.
src/modules/reports/analyticsReports.ts(4,28): error TS2307: Cannot find module '../../../middleware/errors' or its corresponding type declarations.
src/modules/reports/boatReports.ts(3,18): error TS2307: Cannot find module '../../../config/db' or its corresponding type declarations.
src/modules/reports/boatReports.ts(4,29): error TS2307: Cannot find module '../../../middleware/auth' or its corresponding type declarations.
src/modules/reports/boatReports.ts(5,28): error TS2307: Cannot find module '../../../middleware/errors' or its corresponding type declarations.
src/modules/reports/boatReports.ts(6,36): error TS2307: Cannot find module '../../notifications/notifications' or its corresponding type declarations.
src/modules/reports/boatReports.ts(7,47): error TS2307: Cannot find module '../../../services/push.service' or its corresponding type declarations.
src/modules/reports/index.ts(2,41): error TS2307: Cannot find module '../../../middleware/auth' or its corresponding type declarations.
src/modules/reports/index.ts(3,26): error TS2307: Cannot find module '../../../middleware/validation' or its corresponding type declarations.
src/modules/reports/salesReports.ts(3,18): error TS2307: Cannot find module '../../../config/db' or its corresponding type declarations.
src/modules/reports/salesReports.ts(4,29): error TS2307: Cannot find module '../../../middleware/auth' or its corresponding type declarations.
src/modules/reports/salesReports.ts(5,28): error TS2307: Cannot find module '../../../middleware/errors' or its corresponding type declarations.
